Name,Known As,Born,Career,Matches,Inns,Runs,100s,HS,Bat Avg,Wkts,4W,Bowl Avg,E/R,Best,Country,Format
H K Badani,Hemang Badani,14/11/1976,2000-2004,40,36,867,1,100*,33.35,3,0,49.67,4.89,1/7,IND,O
S Badrinath,Subramaniam Badrinath,30/08/1980,2008-2011,7,6,79,0,27,15.80,0,0,-,-,,IND,O
S V Bahutule,Sairaj Bahutule,06/01/1973,1997-2003,8,4,23,0,11*,7.67,2,0,141.50,5.78,1/31,IND,O
L Balaji,Lakshmipathy Balaji,27/09/1981,2002-2009,30,16,120,0,21,12.00,34,1,39.53,5.57,4/48,IND,O
S T Banerjee,Subroto Banerjee,13/02/1969,1991-1992,6,5,49,0,25,24.50,5,0,40.40,5.05,3/30,IND,O
S B Bangar,Sanjay Bangar,11/10/1972,2002-2004,15,15,180,0,57,13.85,7,0,54.86,5.21,2/39,IND,O
A C Bedade,Atul Bedade,24/09/1966,1994-1994,13,10,158,0,51*,22.57,0,0,-,-,,IND,O
B S Bedi,Bishen Bedi,25/09/1946,1974-1979,10,7,31,0,13*,6.20,7,0,48.57,3.46,2/44,IND,O
A Bhandari,Amit Bhandari,01/10/1978,2000-2004,2,1,0,0,0,0.00,5,0,21.20,6.00,3/31,IND,O
R Vijay Bhardwaj,Vijay Bhardwaj,15/08/1975,1999-2002,10,9,136,0,41,27.20,16,0,19.19,4.95,3/34,IND,O
Bhupinder Singh,Bhupinder Singh,01/04/1965,1994-1994,2,1,6,0,6*,6.00,3,0,26.00,4.59,3/34,IND,O
R M H Binny,Roger Binny,19/07/1955,1980-1987,72,49,629,0,57*,16.13,77,3,29.35,4.59,4/29,IND,O
S T R Binny,Stuart Binny,03/06/1984,2014-2015,14,11,230,0,77*,28.75,20,1,21.95,5.38,6/4,IND,O
G Bose,Gopal Bose,20/05/1947,1974-1974,1,1,13,0,13*,13.00,1,0,39.00,3.55,1/39,IND,O
J J Bumrah*,Jasprit Bumrah,06/12/1993,2016-,89,26,91,0,16*,7.58,149,8,23.55,4.60,6/19,IND,O
Y S Chahal*,Yuzvendra Chahal,23/07/1990,2016-,72,14,77,0,18,8.56,121,7,27.13,5.27,6/42,IND,O
D L Chahar*,Deepak Chahar,07/08/1992,2018-,13,9,203,0,69,33.83,16,0,30.56,5.75,3/27,IND,O
R D Chahar,Rahul Chahar,04/08/1999,2021-2021,1,1,13,0,13*,13.00,3,0,18.00,5.40,3/54,IND,O
B S Chandrasekhar,Bhagwat Chandrasekhar,17/05/1945,1976-1976,1,1,11,0,11,0.00,3,0,12.00,3.86,3/36,IND,O
V B Chandrasekhar,V B Chandrasekhar,21/08/1961,1988-1990,7,7,88,0,53*,12.57,0,0,-,-,,IND,O
U Chatterjee,Utpal Chatterjee,13/07/1964,1995-1995,3,2,6,0,3,6.00,3,0,39.00,4.36,2/35,IND,O
C P S Chauhan,Chetandra Chauhan,21/07/1947,1978-1981,7,7,153,0,46*,21.86,0,0,-,-,,IND,O
R K Chauhan,Rajesh Chauhan,19/12/1966,1993-1997,35,18,132,0,32*,10.15,29,0,41.93,4.47,3/29,IND,O
P P Chawla,Piyush Chawla,24/12/1988,2007-2011,25,12,38,0,13,5.43,32,2,34.91,5.11,4/23,IND,O
N Chopra,Nikhil Chopra,26/12/1973,1998-2000,39,26,310,0,61*,15.50,46,2,27.96,4.20,5/21,IND,O
V Dahiya,Vijay Dahiya,10/05/1973,2000-2001,19,15,216,0,51*,16.62,0,0,-,-,,IND,O
S  S Das,Shiv Das,05/11/1977,2001-2002,4,4,39,0,30*,13.00,0,0,-,-,,IND,O
D Dasgupta,Deep Dasgupta,07/06/1977,2001-2001,5,4,51,0,24,17.00,0,0,-,-,,IND,O
N A David,Noel David,26/02/1971,1997-1997,4,2,9,0,8,0.00,4,0,33.25,4.16,3/21,IND,O
